time,lat,lon,RAIN_SUM
2025-06-03,1.0478058,7.0028076,0.0
2025-06-03,1.0478058,7.0741577,0.0
2025-06-03,1.0478058,7.145508,0.0
2025-06-03,1.0478058,7.216858,0.0
2025-06-03,1.0478058,7.288208,0.0
2025-06-03,1.0478058,7.359558,0.0
2025-06-03,1.0478058,7.4308777,0.0
2025-06-03,1.0478058,7.502228,0.0
2025-06-03,1.0478058,7.573578,0.0
2025-06-03,1.0478058,7.644928,0.0
2025-06-03,1.0478058,7.716278,0.0
2025-06-03,1.0478058,7.787628,0.0
2025-06-03,1.0478058,7.8589478,0.0
2025-06-03,1.0478058,7.930298,0.0
2025-06-03,1.0478058,8.001648,0.0
2025-06-03,1.0478058,8.072998,0.0
2025-06-03,1.0478058,8.144348,0.0
2025-06-03,1.0478058,8.215698,0.0
2025-06-03,1.0478058,8.287018,0.0
2025-06-03,1.0478058,8.358368,0.0
2025-06-03,1.0478058,8.429718,0.0
2025-06-03,1.0478058,8.501068,0.0
2025-06-03,1.0478058,8.572418,0.0
2025-06-03,1.0478058,8.643768,0.0
2025-06-03,1.0478058,8.715088,0.0
2025-06-03,1.0478058,8.786438,0.0
2025-06-03,1.0478058,8.857788,0.0
2025-06-03,1.0478058,8.929138,0.0
2025-06-03,1.0478058,9.000488,0.0
2025-06-03,1.0478058,9.071838,0.0
2025-06-03,1.0478058,9.143158,0.0
2025-06-03,1.0478058,9.214508,0.0
2025-06-03,1.0478058,9.285858,0.0
2025-06-03,1.0478058,9.357208,0.0
2025-06-03,1.0478058,9.428558,0.0
2025-06-03,1.0478058,9.499908,0.0
2025-06-03,1.0478058,9.571259,0.0
2025-06-03,1.0478058,9.642578,0.0
2025-06-03,1.0478058,9.713928,0.0
2025-06-03,1.0478058,9.785278,0.0
2025-06-03,1.0478058,9.856628,0.0
2025-06-03,1.0478058,9.9279785,0.0
2025-06-03,1.0478058,9.999329,0.0
2025-06-03,1.0478058,10.070648,0.0
2025-06-03,1.0478058,10.141998,0.0
2025-06-03,1.0478058,10.213348,0.0
2025-06-03,1.0478058,10.2846985,0.0
2025-06-03,1.0478058,10.356049,0.0
2025-06-03,1.0478058,10.427399,0.0
2025-06-03,1.0478058,10.498749,0.0
2025-06-03,1.0478058,10.570068,0.0
2025-06-03,1.0478058,10.641418,0.0
2025-06-03,1.0478058,10.712769,0.0
2025-06-03,1.0478058,10.784119,0.0
2025-06-03,1.0478058,10.855469,0.0
2025-06-03,1.0478058,10.926819,0.0
2025-06-03,1.0478058,10.998169,0.0
2025-06-03,1.0478058,11.069489,0.0
2025-06-03,1.0478058,11.140839,0.0
2025-06-03,1.0478058,11.212189,0.0
2025-06-03,1.0478058,11.283539,0.0
2025-06-03,1.0478058,11.354889,0.0
2025-06-03,1.0478058,11.426239,0.0
2025-06-03,1.0478058,11.497559,0.0
2025-06-03,1.0478058,11.568909,0.0
2025-06-03,1.0478058,11.640259,0.0
2025-06-03,1.0478058,11.711609,0.0
2025-06-03,1.0478058,11.782959,0.0
2025-06-03,1.0478058,11.854309,0.0
2025-06-03,1.0478058,11.925659,0.0
2025-06-03,1.0478058,11.997009,0.0
2025-06-03,1.0478058,12.068329,0.0
2025-06-03,1.0478058,12.139679,0.0
2025-06-03,1.0478058,12.211029,0.0
2025-06-03,1.0478058,12.282379,0.0
2025-06-03,1.0478058,12.353729,0.0
2025-06-03,1.0478058,12.425079,0.0
2025-06-03,1.0478058,12.496399,0.0
2025-06-03,1.0478058,12.567749,0.0
2025-06-03,1.0478058,12.639099,0.0
2025-06-03,1.0478058,12.710449,0.0
2025-06-03,1.0478058,12.781799,0.0
2025-06-03,1.0478058,12.853149,0.0
2025-06-03,1.0478058,12.9244995,0.0
2025-06-03,1.0478058,12.99585,0.0
2025-06-03,1.0478058,13.067169,0.0
2025-06-03,1.0478058,13.138519,0.0
2025-06-03,1.0478058,13.209869,0.0
2025-06-03,1.0478058,13.2812195,0.0
2025-06-03,1.0478058,13.35257,0.0
2025-06-03,1.0478058,13.42392,0.0
2025-06-03,1.0478058,13.49527,0.0
2025-06-03,1.0478058,13.566589,0.0
2025-06-03,1.0478058,13.637939,0.0
2025-06-03,1.0478058,13.70929,0.0
2025-06-03,1.0478058,13.78064,0.0
2025-06-03,1.0478058,13.85199,0.0
2025-06-03,1.0478058,13.92334,0.0
2025-06-03,1.0478058,13.99469,0.0
2025-06-03,1.0478058,14.0660095,0.0
2025-06-03,1.0478058,14.13736,0.0
2025-06-03,1.0478058,14.20871,0.0
2025-06-03,1.0478058,14.28006,0.0
2025-06-03,1.0478058,14.35141,0.0
2025-06-03,1.0478058,14.42276,0.0
2025-06-03,1.0478058,14.49411,0.0
2025-06-03,1.0478058,14.56546,0.0
2025-06-03,1.0478058,14.63678,0.0
2025-06-03,1.0478058,14.70813,0.0
2025-06-03,1.0478058,14.77948,0.0
2025-06-03,1.0478058,14.85083,0.0
2025-06-03,1.0478058,14.92218,0.0
2025-06-03,1.0478058,14.99353,0.0
2025-06-03,1.0478058,15.06488,0.0
2025-06-03,1.0478058,15.1362,0.0
2025-06-03,1.0478058,15.20755,0.0
2025-06-03,1.0478058,15.2789,0.0
